LIST,ITEM,CONDITION,TEXT,QUESTION,QUESTIONTEXT,CORRECT
1,1,everyday_real,"Familie Schmidt*hat heute*einen Ausflug*in den*nahe gelegenen*Naturpark*gemacht.<br>Die beiden Kinder,*Emily  und Max, *konnten*vor Aufregung*kaum stillsitzen.<br>Als sie*im Park*ankamen,*breiteten sie*ihre Decke*auf einer grünen Wiese*aus.<br>Der Vater*deutete*auf einen kleinen Punkt*im Himmel.* <br>Er erklärte ihnen,*dass es*ein Satellit*ist,*der seine Bahn*um die Erde zog.<br>Sie überlegten,*wie lange*der Flugkörper*wohl schon*im Weltraum*unterwegs war.<br>Emily*war begeistert*und wollte*unbedingt*mehr darüber erfahren.<br>Den Rest*des Picknicks*verbrachte sie damit,*über*den Weltraum*zu fantasieren.<br>Emily wollte*nun unbedingt*Astronautin werden.<br>Zu Hause*musste*ihr Vater*ihr ein Buch*über Astronauten*vorlesen.",1,Möchte Emily nach einem Picknick im Naturpark Astronautin werden?,j
2,2,everyday_real,"Lisa*und*ihr Freund Alex*waren*endlich*auf*der lang ersehnten*Radtour.<br>Auf halbem Weg*zu ihrem Ziel*spürte*Lisa*ein ungewöhnliches Ruckeln*an ihrem Fahrrad.<br>Verwirrt*hielt sie an*und überprüfte*die Kette.*Alex fragte besorgt,*was los sei.<br>Lisa seufzte*und deutete*auf ein Kettenglied,*das*gebrochen zu sein*schien.<br>Es war*letzte Woche*vom Mechaniker*gecheckt worden*und nun*gab es*wieder Probleme.<br>Sie überlegten,*wie lange*die Reparatur*wohl*dauern würde.<br>Lisa*brach*in Tränen*aus,*weil*die Radtour*nun*zu scheitern*schien.<br>Alex tröstete sie*und*stieg auch ab,*und*sie schoben*die Räder*den Rest*des Weges.<br>Zwei Stunden später*kamen sie*endlich*an einem Rastplatz an*und machten*eine Pause.<br>Jetzt*mussten sie*nur noch*ein paar Kilometer*nach Hause*fahren.",1,Haben Lisa und Alex die Räder den Rest des Weges geschoben?,j
1,3,everyday_real,"Clara,*eine Kinderbuchautorin,*befand sich*in einem Wettlauf*gegen die Zeit.<br>Der Abgabetermin*für ihr neuestes Buch*war heute Abend*und Clara<br>Hatte*noch viel*zu tun.*Sie räumte*ihren Schreibtisch auf,*und packte<br>ihren Laptop aus,*um dort*weiterzuschreiben,*wo sie gestern*aufgehört hatte.<br>Sie verbrachte*den ganzen Tag*mit*der Korrektur*und*arbeitete*sehr sorgfältig.<br>Sie bemerkte*erschrocken*einen Fehler*ganz am Ende.*Als die Sonne*langsam unterging,<br>sandte Clara*das finale Manuskript*endlich ab.*Sie seufzte erleichtert auf.<br>Sie war froh,*ihr Projekt*endlich*beendet zu haben*und war stolz*auf ihre Arbeit.<br>Sie rief*ihre Eltern an*und erzählte ihnen*von ihrem Erfolg.<br>Dann*kuschelte sie sich*ins Bett*und schlief*schon*nach einigen Minuten*ein.",1,Schrieb Clara ihr Kinderbuch bei sich im Garten?,f
1,4,everyday_real,"In der Grundschulklasse*von Frau Metzger*stand*die Bastelstunde*auf dem Stundenplan.<br>Die Schülerinnen*und Schüler*sollten*aus Alltagsmaterialien*eine Windmühle*basteln.<br>Bald*hatten sie*kleine Windräder*aus Pappe und Plastikflaschen gebaut.<br>Nun fehlte*nur noch*Wind,*damit sie*die Windmühlen*testen konnten.<br>Dazu*konnten*sie*eine Maschine*benutzen,*die*ihnen kürzlich*zur Verfügung*gestellt wurde.<br>Einige Schüler*fanden*die Technik*besonders interessant.*Frau Metzger*zeigte*ihnen,<br>wie sie*ihre Windmühle*testen konnten.*Dann durfte jeder*nach vorne kommen,<br>um seine Windmühle*zu beschreiben*und anschließend*die Funktion*vorzuführen.<br>Am Ende*wählten sie*per Abstimmung*die beste Windmühle*und baten Frau Metzger,<br>in der nächsten Stunde*einen weiteren Wettbewerb*zu veranstalten.",1,Bastelte die Grundschulklasse mit Pappe und Plastik Windmühlen?,j
1,5,everyday_real,"Die kleine Annalena *saß*auf dem Boden*ihres Kinderzimmers,*umgeben von*Büchern.<br>Ihre Eltern*hatten sie*ins Bett*geschickt,*aber*Annalena wollte*noch ein wenig<br>in den Büchern*schmökern.*Noch konnte sie*nur wenige Wörter*lesen,<br>aber zum Glück*hatten*ihre Bücher*auch viele Bilder.<br>Am besten*gefiel*ihr*eine Kamille,*die*auf einer Buchseite*zu sehen*war.<br>Auf der Zeichnung*war*ein Garten*abgebildet,*der*sehr detailliert*gestaltet war.<br>Das nächste Buch*handelte von*Prinzessinnen.*Sie beschloss,*in ihrem Schrank*nach ihrem<br>Prinzessinnenkleid*zu suchen,*um sich*zu verkleiden.*Aber gerade*als sie es*gefunden hatte,<br>hörte sie*die Schritte*ihrer Mutter.*Schnell löschte sie*das Licht*und sprang*ins Bett.<br>Ihre Mutter*öffnete*die Tür*einen Spalt*und schloss sie*dann wieder.<br>",1,Ging Annalena nach dem Lesen direkt ins Bett?,f
2,6,everyday_real,"Frau Müller*hat heute*mit der 7. Klasse*einen Ausflug*gemacht.*Vor ihnen*lagen<br>viele Attraktionen,*darunter*ein malerischer Teich*mit vielen Fischen<br>und ein Schmetterlingshaus.*In der Mittagspause*verlor Frau Müller eine Gruppe<br>von Schülern*aus den Augen.*Sie suchte sie*besorgt*und fand sie*zum Glück wieder.<br>Die Schüler*hatten sich*um*eine Orchidee*versammelt*und betrachteten sie.<br>Sie befand sich*in der Mitte*vom Garten*und*wirkte*sehr anmutig.<br>Frau Müller*ermahnte*die Schüler,*die Umgebung*nicht mehr allein*zu erkunden,<br>war aber*vor allem*erleichtert, *die Schüler*wieder gefunden*zu haben.<br>Der Ausflug*endete*mit einem kleinen Quiz*über die Schmetterlinge,*die sie*gesehen hatten.<br>Auf der Rückfahrt*sprachen*die Kinder*immer noch*über die Schmetterlinge.<br>",1,Endete der Ausflug mit einem Quiz über Teiche?,f
3,7,everyday_real,"Anne saß*entspannt*im Wohnzimmer*und genoss*ihr Buch,*als ihr Sohn Daniel<br>mit braunen Handflächen*und Dreck*im Gesicht*vom Spielplatz*zurückkehrte.<br>Etwas genervt*bemerkte Anne,*wie Daniel*den Sand*aus dem Sandkasten*im Haus*verteilte.<br>Sie bat Daniel*kurz draußen*zu warten.*Da stupste Daniel*seine Mutter an.<br>In seiner*rechten Hand*hielt er*einen Lavendel,*den*er ihr reichte.<br>Er*hatte ihn*im Garten*entdeckt*und ihr*geben wollen<br> Deren Ärger*verflog schnell*und sie stand auf,*um ihren Sohn*vor der Tür<br>vom Sand*zu befreien.*Daniel schien*den ganzen Sandkasten*mitgenommen*zu haben.<br>Danach sprang Daniel*unter die Dusche*und war bald*wieder sauber.<br>Anne setzte sich*wieder ins Wohnzimmer*und las weiter.<br>",1,Saß Anne im Wohnzimmer, als ihre Tochter sandbepackt nach Hause kam?,j
1,8,everyday_real,"Die Nachbarskinder*Lisa und Tom*spielten*fast jeden Tag*miteinander<br>und durften schon*alleine*aus dem Haus*gehen,*solange sie*in der Straße*blieben.<br>Heute*fuhren sie*mit ihren Fahrrädern*in den Park*und setzten sich*in den Sandkasten.<br>Tom zog*seinen Rucksack aus*und kramte*darin herum.<br>Er*holte*eine kleine Figur*eines Triceratops*heraus*und*gab sie*weiter.<br>Er hätte*gerne*die Fossilien*zur Veranschaulichung*zur Hand*gehabt.<br>Lisa war*sehr beeindruckt*und fragte*ihre Mutter*zu Hause,*ob sie auch<br>solche Figuren*haben könnte.*Beim nächsten Treffen*spielten*die beiden Kinder <br>mit ihren Figuren*und lasen*Bücher über*prähistorische Abenteuer.<br>Sie hatten*noch mehr Spaß*miteinander*als zuvor.",1,Durften Lisa und Tom schon alleine aus dem Haus gehen, solange sie in der Straße blieben?,j
2,9,everyday_real,"An einem Sommerabend*lagen Jennifer und*ihr Vater*auf dem Rücken*im Garten<br>und betrachteten*den funkelnden Sternenhimmel.*Ihr Vater zeigte*auf den hellen Mond<br>und erklärte ihr,*dass der Mond*von der Sonne*angestrahlt wird*und deshalb<br>so hell leuchtet.*Ihr Vater beobachtete*den Himmel*ganz genau.<br>Er überlegte,*ob*einer der Punkte*ein Asteroid*sei,*der*weit entfernt*seine Bahn*zog.<br>Sie diskutierten,*wie*eine Kollision*mit der Erde*aussehen könnte.<br>Am nächsten Abend*wollte Jennifer wieder*mit ihrem Vater*in den Sternenhimmel*schauen.<br>Gerührt von der Begeisterung seiner Tochter, beschloss er,*ein preiswertes Hobbyteleskop<br>zu kaufen,*um seiner Tochter*so viel wie möglich*zeigen zu können.<br>Er lies sogar*ein Buch über*einfach zu erkennende*Konstellationen.<br>",1,Hat Jennifer' Vater ein preiswertes Hobbyteleskop gekauft, um seiner Tochter mehr zeigen zu können?,j
2,10,everyday_real,"David saß*abends*nach der Arbeit*in seinem Sessel*im Wohnzimmer*und schaltete müde<br>zwischen den Fernsehkanälen*hin und her.*Kurz ließ er*einen Zeichentrickfilm*laufen,<br>in dem*eine Freundesgruppe*Abenteuer erlebte,*aber seine Gedanken*wanderten<br>immer wieder*zur Arbeit.*Als er wieder*umschaltete,*sah er*eine Sondermeldung.<br>In den USA*war gestern*ein Meteorit*eingeschlagen*dessen Bergung*in Gange war.<br> Er überlegte,*wie groß*der Krater*wohl sein musste.*Schließlich*legte er*die Fernbedienung<br>beiseite*und beschloss,*nach draußen*zu gehen.*Ein Spaziergang war*genau das Richtige,<br>um den Kopf*freizubekommen*und die Sorgen*über die Arbeit*für den Moment*zu vergessen.<br>Die frische Luft*und Naturgeräusche*halfen ihm,*sich zu beruhigen*und Energie*zu tanken.<br>Er fühlte sich*schon viel besser*und konnte endlich*abschalten.",1,Hat David den Zeichentrickfilm lange angesehen?,f
