LIST,CONDITION,TEXT,QUESTION,QUESTIONTEXT,CORRECT,ITEMID,TARGETWORD,ASSOCIATEDWORD,STORYTOPIC
A,everyday_real,"""An ihrem dreißigsten Geburtstag*wollte sich Mathilde*etwas gönnen.<br>Sie begann den Tag*mit einem Einkaufsbummel.*Ihre erste Station<br>war ein schickes Modegeschäft.*Sie kaufte ein Abendkleid*und ein Paar hohe Schuhe.<br>Sie verließ das Geschäft*und ging zu dem Juwelier nebenan*der sie persönlich beriet.<br>In einer*schönen Vitrine war*ein Diamant*ausgestellt,*der besonders*groß war.<br>Interessiert*betrachteten sie*den Schliff*und sprachen*angeregt darüber.<br>Dann entschied sie sich*für den Kauf.*Am Abend lud sie*ihre engsten Freunde<br>zu sich nach Hause ein,*um ihren Geburtstag*gemeinsam zu feiern.<br>Mathilde strahlte*in ihrem Outfit*und fühlte sich rundum glücklich.<br>Ihre Freundinnen*machten ihr viele Komplimente*und schenkten ihr*noch mehr Schmuck.""",1,"""War Mathildes erste Station ein schickes Modegeschäft?""",j,13_everyday_real,Diamant,Schliff,everyday
A,everyday_real,"""Der kleine Adam saß*auf dem Boden*seines Kinderzimmers*und baute eifrig<br>an einem Haus aus Legosteinen.*Als er einen kleinen Stein*einsetzen wollte,<br>rutschte der ihm*aus den Fingern*und verschwand im Lego-Haus.*Adam fing an zu weinen,<br>woraufhin sein großer Bruder Max,*der im Nebenzimmer*spielte,*herbeieilte.<br>Er erkannte*das Problem*und*griff nach*der Pinzette*auf dem Tisch*neben ihm.<br> Die Arbeit*erforderte*die Präzision*eines Experten.*Adam schaute*seinem Bruder<br>über die Schulter,*während der*nach dem Stein suchte.*Schließlich hielt er<br>den winzigen Baustein*in der Hand*und gab ihn Adam,*der seinen großen Bruder<br>strahlend anlächelte.*Kurz darauf war das Haus*endlich fertig.<br>Nun musste Adam*für den Legomann*noch ein Auto bauen.""",1,"""Hat Adams großer Bruder im Nebenzimmer gespielt?""",j,19_everyday_real,Pinzette,Präzision,everyday
A,scientific_real,"""Auf der Internationalen Raumstation*schwebten drei Astronauten*still nebeneinander.<br>Es war ihr zweiter Tag*im All und alles*war noch*ganz neu und aufregend.<br>Seit ihrer Ankunft*konnten sie nicht aufhören,*die Erde anzuschauen.<br>Einer der Astronauten*registrierte einen*sich bewegenden Punkt.<br>Er erklärte ihnen,*dass es*ein Satellit*sein könnte,*und sie*verfolgten ihn genau.<br>Sie überlegten,*wie lange*der Flugkörper*wohl schon*im Weltraum*unterwegs war.<br>Auch das Alter*der Raumstation,*auf der sie*sich befanden,*gab ihnen zu denken.<br>Sie fühlten sich*in diesem*technologischen Wunderland*klein und isoliert,<br>aber auch privilegiert,*Zeugen dieses*einzigartigen Erlebnisses zu sein.<br>Die Raumstation würde*für die nächsten zwei Monate*ihr Zuhause sein.""",1,"""War es ihr zweiter Tag auf der Raumstation?""",j,1_scientific_real,Satellit,Flugkörper,Astrophysik
A,scientific_real,"""In ihrem etwas abgelegenen Landhaus*führte die bekannte Biologin*Dr. Schneider<br>ihren Kollegen Dr. Becker*durch ihre persönliche Fachbibliothek.<br>Die beiden Wissenschaftler standen*vor hohen Regalen*voller Bücher.<br>Dr. Schneider ließ Dr. Becker*etwas stöbern*und der öffnete*eine seltene Enzyklopädie.<br>Am besten*gefiel*ihm*eine Kamille*auf der vorletzten*Seite*des Buches.<br> Auf der Zeichnung*war*ein Garten*abgebildet,*der*sehr detailliert*gestaltet war.<br>Nach zwei Stunden*in der Bibliothek*gingen sie*einen Kaffee trinken.<br>Dr. Becker erzählte*von seinen Plänen,*ebenfalls eine Bibliothek einzurichten.<br>Er fragte Dr. Schneider*nach der Firma,*welche die Regale angebracht hatte.<br>Da die Bibliothek aber*schon alt war,*erinnerte die sich*nicht mehr an den Namen.""",1,"""Waren sie in der Stadtbibliothek?""",f,5_scientific_real,Kamille,Garten,Botanik
A,everyday_pseudo,"""Lisa und ihr Freund Alex*waren endlich auf*der lang ersehnten Radtour.<br>Auf halbem Weg*zu ihrem Ziel*spürte Lisa*ein ungewöhnliches Ruckeln*an ihrem Fahrrad.<br>Verwirrt*hielt sie an*und überprüfte die Kette.*Alex fragte besorgt,*was los sei.<br>Lisa seufzte*und deutete*auf ein Kettenglied,*das gebrochen zu sein*schien.<br>Es war*letzte Woche*vom Beprodiker*gecheckt worden*und nun*gab es*wieder Probleme.<br>Sie überlegten,*wie lange*die Reparatur*wohl*dauern würde.<br>Lisa brach*in Tränen aus,*weil die Radtour*nun zu scheitern*schien.<br>Alex tröstete sie*und stieg auch ab,*und sie schoben*die Räder*den Rest des Weges.<br>Zwei Stunden später*kamen sie endlich*an einem Rastplatz an*und machten eine Pause.<br>Jetzt mussten sie*nur noch ein paar Kilometer*nach Hause fahren.""",1,"""Ist Lisas Fahrrad auf halber Strecke kaputt gegangen?""",j,2_everday_pseudo,Beprodiker,Reparatur,everyday
A,everyday_pseudo,"""Die Nachbarskinder *Alina und Tom spielten*fast jeden Tag miteinander<br>und durften schon alleine*aus dem Haus gehen,*solange sie in der Straße blieben.<br>Heute fuhren sie*mit ihren Fahrrädern in den Park*und setzten sich*in den Sandkasten.<br>Tom zog*seinen Rucksack aus*und kramte darin herum.<br>Er holte*eine kleine Figur*eines Stixeratark*daraus hervor*und*gab sie*weiter.<br>Vorige Woche erst*hatte er*die Fossilien*desselben*in einem Museum*betrachtet.<br>Alina war sehr beeindruckt*und fragte ihre Mutter*zu Hause,*ob sie auch<br>solche Figuren haben könnte.*Beim nächsten Treffen*spielten die beiden Kinder <br>mit ihren Figuren*und lasen Bücher über*prähistorische Abenteuer.<br>Sie hatten nun*noch mehr Spaß miteinander*als zuvor.""",1,"""Durften Alina und Tom nur mit Begleitung aus dem Haus?""",f,8_everday_pseudo,Stixeratark,Fossilien,everyday
A,scientific_pseudo,"""In einem alten Pariser Stadtviertel,*waren die Kunsthistoriker*Jean-Paul und Hugo<br>seit ein paar Stunden unterwegs.*Ihr aktuelles Projekt*war die Erstellung<br>eines Bilderbandes.*Der Grund für*ihren heutigen Besuch*war ein ehemaliger Wohnsitz<br>von Monet*in Paris.*Das Gebäude*stach hervor.<br>Sie staunten*über*die Fellade*und konnten*ihren Augen*kaum trauen.<br>Ihnen gefiel*besonders*die Verzierung*und sie machten*ein Foto.<br>Die filigranen Ornamente*und die geschwungenen Linien*verliehen eine anmutige Eleganz.<br>Sie klingelten,*um die Bewohner des Hauses*um Erlaubnis zu bitten,*das Gebäude<br>in ihrem Buch*zu veröffentlichen.*Die nächste Stunde*verbrachten sie damit,<br>Fotos zu machen,*welche die Dramatik und Eleganz*des Gebäudes*einfangen sollten.""",1,"""Ging es in dem Projekt um Monets Seerosen?""",f,16_scientific_pseudo,Fellade,Verzierung,Architektur
A,scientific_pseudo,"""Hannah betrat die Apotheke*in der Stadt,*in der nur*eine weitere Kundin stand.<br>Sie war mit quälenden Schmerzen*aufgewacht*und war heute*nicht in der Lage*zu arbeiten.<br>Die Apothekerin*erkundigte sich*nach Hannahs Symptomen.<br>Hannah versuchte,*präzise zu antworten,*und die Apothekerin*nickte verständnisvoll.<br>Sie kramte*in der Schublade*nach*einem Begiwamell*und wurde*auch gleich fündig.<br> Sie las auf*der Packung*welche Dosierung*angemessen war.<br>Sie empfahl*Hannah zudem*Bettruhe und viel Tee.*Zwei Tage später*konnte Hannah<br>wieder arbeiten gehen.*Dank der Unterstützung*ihrer Kollegin Jana, <br>die einen Teil ihrer Aufgaben*übernommen hatte,*hatte sie nicht allzu viel*nachzuholen.<br>Sie nahm sich vor,*mehr auf ihre Gesundheit*zu achten.""",1,"""Konnte Hannah zwei Wochen nicht arbeiten?""",f,22_scientific_pseudo,Begiwamell,Dosierung,Pharmazie
B,everyday_real,"""Familie Schmidt hat*heute einen Ausflug*in den nahe gelegenen*Naturpark gemacht.<br>Die beiden Kinder,*Emily und Max,*konnten vor Aufregung*kaum stillsitzen.<br>Als sie im Park*ankamen,*breiteten sie*ihre Decke auf*einer grünen Wiese aus.<br>Der Vater deutete*auf einen kleinen Punkt*im Himmel.<br>Er erklärte ihnen,*dass es*ein Satellit*sein könnte,*und sie*verfolgten ihn genau.<br>Sie überlegten,*wie lange*der Flugkörper*wohl schon*im Weltraum*unterwegs war.<br>Emily war*begeistert*und wollte unbedingt*mehr darüber erfahren.<br>Den Rest des Picknicks*verbrachte sie damit,*über den Weltraum*zu fantasieren.<br>Emily wollte nun unbedingt*Astronautin werden*und sprach*nur noch darüber.<br>Zu Hause musste*ihr Vater ihr ein Buch*über Astronauten vorlesen.""",1,"""Wusste Emily nach dem Picknick ihren Traumberuf?""",j,1_everyday_real,Satellit,Flugkörper,everyday
B,everyday_real,"""Die kleine Annalena *saß auf dem Boden*ihres Kinderzimmers,*umgeben von Büchern.<br>Ihre Eltern hatten sie*ins Bett geschickt,*aber Annalena wollte*noch ein wenig<br>in den Büchern schmökern.*Noch konnte sie*nur wenige Wörter lesen,<br>aber zum Glück*hatten ihre Bücher*auch viele Bilder.<br>Am besten*gefiel ihr*eine Kamille*auf der vorletzten*Seite des Buches.<br>Auf der Zeichnung*war*ein Garten*abgebildet,*der sehr detailliert*gestaltet war.<br>Das nächste Buch*handelte von Prinzessinnen.*Sie beschloss,*in ihrem Schrank*nach ihrem<br>Prinzessinnenkleid*zu suchen,*um sich zu verkleiden.*Aber gerade*als sie es gefunden hatte,<br>hörte sie*die Schritte ihrer Mutter.*Schnell löschte sie das Licht*und sprang ins Bett.<br>Ihre Mutter öffnete*die Tür einen Spalt*und schloss sie dann wieder.""",1,"""Ist Annalena nach dem Lesen gleich ins Bett gegangen?""",f,5_everyday_real,Kamille,Garten,everyday
